estimator,model,subset,feat_type,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,best_score_inner,tn,fp,fn,tp
rf,both_lateral__C,both_lateral,C,7,27,1,0.5185185185185185,0.5,0.8049450549450549,0.6910582957094585,14.0,0.0,13.0,0.0
rf,both_lateral__C,both_lateral,C,8,25,1,0.96,0.9545454545454546,1.0,0.6517480124967362,14.0,0.0,1.0,10.0
rf,both_lateral__C,both_lateral,C,9,25,1,0.96,0.9642857142857143,1.0,0.6529792291278395,13.0,1.0,0.0,11.0
rf,both_lateral__C,both_lateral,C,10,24,1,0.5833333333333334,0.5734265734265734,0.5734265734265734,0.7173108608162494,9.0,4.0,6.0,5.0
rf,left_lateral__A,left_lateral,A,1,32,1,0.75,0.7490196078431373,0.8156862745098039,0.6942155067155067,11.0,4.0,4.0,13.0
rf,left_lateral__A,left_lateral,A,2,30,1,0.7,0.6785714285714286,0.5803571428571429,0.72079050652505,5.0,9.0,0.0,16.0
rf,left_lateral__A,left_lateral,A,3,29,1,0.5172413793103449,0.5047619047619047,0.6714285714285714,0.6997007057982668,13.0,2.0,12.0,2.0
rf,left_lateral__A,left_lateral,A,4,28,1,0.7142857142857143,0.7142857142857143,0.9183673469387754,0.7183770726028241,14.0,0.0,8.0,6.0
rf,left_lateral__A,left_lateral,A,5,28,1,0.5714285714285714,0.5714285714285714,0.5,0.6902824439693415,2.0,12.0,0.0,14.0
rf,left_lateral__A,left_lateral,A,6,28,1,0.7142857142857143,0.7142857142857143,0.9285714285714286,0.6211066301820697,13.0,1.0,7.0,7.0
rf,left_lateral__A,left_lateral,A,7,27,1,0.5555555555555556,0.5384615384615384,0.826923076923077,0.6609591958429167,14.0,0.0,12.0,1.0
rf,left_lateral__A,left_lateral,A,8,25,1,1.0,1.0,1.0,0.6348193465323358,14.0,0.0,0.0,11.0
rf,left_lateral__A,left_lateral,A,9,25,1,0.96,0.9642857142857143,0.961038961038961,0.6473003268238663,13.0,1.0,0.0,11.0
rf,left_lateral__A,left_lateral,A,10,24,1,0.625,0.6188811188811189,0.5664335664335665,0.7012442715789283,9.0,4.0,5.0,6.0
rf,left_lateral__B,left_lateral,B,1,32,1,0.5,0.4862745098039216,0.43921568627450985,0.5043040293040293,4.0,11.0,5.0,12.0
rf,left_lateral__B,left_lateral,B,2,30,1,0.4,0.40625,0.4464285714285714,0.5024177624858283,7.0,7.0,11.0,5.0
rf,left_lateral__B,left_lateral,B,3,29,1,0.5862068965517241,0.5857142857142856,0.6571428571428571,0.5754489413025998,9.0,6.0,6.0,8.0
rf,left_lateral__B,left_lateral,B,4,28,1,0.39285714285714285,0.39285714285714285,0.45408163265306123,0.5728606334108319,8.0,6.0,11.0,3.0
rf,left_lateral__B,left_lateral,B,5,28,1,0.35714285714285715,0.35714285714285715,0.30612244897959184,0.5655048455672392,9.0,5.0,13.0,1.0
rf,left_lateral__B,left_lateral,B,6,28,1,0.5714285714285714,0.5714285714285714,0.5561224489795918,0.5023117992488384,7.0,7.0,5.0,9.0
rf,left_lateral__B,left_lateral,B,7,27,1,0.48148148148148145,0.4725274725274725,0.4230769230769231,0.5041552479158832,10.0,4.0,10.0,3.0
