estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__n_estimators,svc__C,svc__gamma,xgb__learning_rate,xgb__max_depth,xgb__n_estimators
rf,right_lateral__A,right_lateral,A,10,0.7334787384418694,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,1,0.4167887667887668,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,2,0.4039586964998196,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,3,0.38841984573691896,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,4,0.38610821963062464,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,5,0.43435127297861276,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,6,0.3860050266743403,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,7,0.41634583353244725,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,8,0.43368536675399977,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,9,0.4366947573130216,10.0,sqrt,200.0,,,,,
rf,right_lateral__B,right_lateral,B,10,0.4329853514481989,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,1,0.6506562881562882,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,2,0.7372617298879351,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,3,0.697549063402722,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,4,0.6898468173283828,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,5,0.719337321152409,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,6,0.6727727116269374,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,7,0.7056819149842406,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,8,0.6329578910407044,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,9,0.6773649713241318,10.0,sqrt,200.0,,,,,
rf,right_lateral__C,right_lateral,C,10,0.7009764200632039,10.0,sqrt,200.0,,,,,
svm,bis_quatro__A,bis_quatro,A,1,0.6222985347985348,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,2,0.647640725065569,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,3,0.5954986747669674,,,,10.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,4,0.6454473553168959,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,5,0.6264309365557239,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,6,0.533591904408694,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,7,0.5936089970406476,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,8,0.55379989015837,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,9,0.5586122140291171,,,,1.0,scale,,,
svm,bis_quatro__A,bis_quatro,A,10,0.5765200010804095,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,1,0.5348748473748474,,,,10.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,2,0.43940911297689517,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,3,0.5066485005509396,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,4,0.501823190989385,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,5,0.5096286300200084,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,6,0.5347190623707924,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,7,0.509987727656474,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,8,0.5185897955325068,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,9,0.4873051886665046,,,,1.0,scale,,,
svm,bis_quatro__B,bis_quatro,B,10,0.4486017700708569,,,,1.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,1,0.6347069597069597,,,,10.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,2,0.6005159994099302,,,,10.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,3,0.6240805265195509,,,,1.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,4,0.638058843532468,,,,10.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,5,0.6316975864621922,,,,1.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,6,0.6149391196186431,,,,1.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,7,0.587018499241982,,,,1.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,8,0.5468222456310942,,,,1.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,9,0.559391009192484,,,,1.0,scale,,,
svm,bis_quatro__C,bis_quatro,C,10,0.5900701365817644,,,,1.0,scale,,,
svm,both_lateral__A,both_lateral,A,1,0.6615384615384615,,,,10.0,scale,,,
svm,both_lateral__A,both_lateral,A,2,0.6540968642500123,,,,10.0,scale,,,
svm,both_lateral__A,both_lateral,A,3,0.7332186783406295,,,,1.0,scale,,,
svm,both_lateral__A,both_lateral,A,4,0.7415269233193227,,,,1.0,scale,,,
svm,both_lateral__A,both_lateral,A,5,0.7094860298206868,,,,10.0,scale,,,
svm,both_lateral__A,both_lateral,A,6,0.5835385072480932,,,,10.0,scale,,,
svm,both_lateral__A,both_lateral,A,7,0.6205321432207422,,,,10.0,scale,,,
svm,both_lateral__A,both_lateral,A,8,0.5663911622504929,,,,10.0,scale,,,
svm,both_lateral__A,both_lateral,A,9,0.570359416218747,,,,1.0,scale,,,
svm,both_lateral__A,both_lateral,A,10,0.6358254778561075,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,1,0.47081807081807076,,,,10.0,scale,,,
svm,both_lateral__B,both_lateral,B,2,0.4441279398738276,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,3,0.42718663450370764,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,4,0.3872099256387402,,,,10.0,scale,,,
svm,both_lateral__B,both_lateral,B,5,0.4263908713710189,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,6,0.48043645079946834,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,7,0.45568295383950524,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,8,0.4292556879057163,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,9,0.4570379673896407,,,,1.0,scale,,,
svm,both_lateral__B,both_lateral,B,10,0.4740003961501409,,,,1.0,scale,,,
svm,both_lateral__C,both_lateral,C,1,0.6578754578754579,,,,10.0,scale,,,
svm,both_lateral__C,both_lateral,C,2,0.6512734287833551,,,,10.0,scale,,,
svm,both_lateral__C,both_lateral,C,3,0.6611274903957831,,,,1.0,scale,,,
svm,both_lateral__C,both_lateral,C,4,0.6139660585207948,,,,1.0,scale,,,
svm,both_lateral__C,both_lateral,C,5,0.6626040500118776,,,,1.0,scale,,,
svm,both_lateral__C,both_lateral,C,6,0.6609067336520541,,,,1.0,scale,,,
svm,both_lateral__C,both_lateral,C,7,0.6687466280489537,,,,1.0,scale,,,
svm,both_lateral__C,both_lateral,C,8,0.5926946312652496,,,,1.0,scale,,,
svm,both_lateral__C,both_lateral,C,9,0.603930889807237,,,,10.0,scale,,,
svm,both_lateral__C,both_lateral,C,10,0.6642064842575336,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,1,0.6450396825396826,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,2,0.6861874496588053,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,3,0.7075106465350368,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,4,0.7150236478086733,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,5,0.6781479219085572,,,,1.0,scale,,,
svm,left_lateral__A,left_lateral,A,6,0.5896151179758666,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,7,0.6171459944857562,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,8,0.5866060737019331,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,9,0.6075817734921536,,,,10.0,scale,,,
svm,left_lateral__A,left_lateral,A,10,0.6593446416191737,,,,1.0,scale,,,
svm,left_lateral__B,left_lateral,B,1,0.5501984126984127,,,,10.0,scale,,,
svm,left_lateral__B,left_lateral,B,2,0.5507558710905279,,,,1.0,scale,,,
svm,left_lateral__B,left_lateral,B,3,0.5193424461717145,,,,1.0,scale,,,
svm,left_lateral__B,left_lateral,B,4,0.5064840151340434,,,,1.0,scale,,,
svm,left_lateral__B,left_lateral,B,5,0.49271814402273845,,,,10.0,scale,,,
svm,left_lateral__B,left_lateral,B,6,0.5040034019047065,,,,1.0,scale,,,
svm,left_lateral__B,left_lateral,B,7,0.5371700682250881,,,,10.0,scale,,,
svm,left_lateral__B,left_lateral,B,8,0.45675661075547636,,,,10.0,scale,,,
svm,left_lateral__B,left_lateral,B,9,0.4731923398968209,,,,10.0,scale,,,
svm,left_lateral__B,left_lateral,B,10,0.4985797117107384,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,1,0.6908424908424907,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,2,0.6873601441100022,,,,10.0,scale,,,
svm,left_lateral__C,left_lateral,C,3,0.677320646832842,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,4,0.6710407667582937,,,,10.0,scale,,,
svm,left_lateral__C,left_lateral,C,5,0.6993263716179201,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,6,0.6675673541810808,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,7,0.6921870119544539,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,8,0.6119731878381907,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,9,0.6519415858610413,,,,1.0,scale,,,
svm,left_lateral__C,left_lateral,C,10,0.708534784683395,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,1,0.6631715506715506,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,2,0.6904616465024859,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,3,0.7394204711277883,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,4,0.7524397515889291,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,5,0.7259307623743245,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,6,0.6174391248129195,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,7,0.6219912154398824,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,8,0.5314151563442545,,,,10.0,scale,,,
svm,right_lateral__A,right_lateral,A,9,0.5557131152706876,,,,1.0,scale,,,
svm,right_lateral__A,right_lateral,A,10,0.6529522188909597,,,,1.0,scale,,,
svm,right_lateral__B,right_lateral,B,1,0.40538766788766784,,,,10.0,scale,,,
svm,right_lateral__B,right_lateral,B,2,0.39277282243816564,,,,10.0,scale,,,
svm,right_lateral__B,right_lateral,B,3,0.38671491110515505,,,,1.0,scale,,,
svm,right_lateral__B,right_lateral,B,4,0.4291963000130896,,,,10.0,scale,,,
svm,right_lateral__B,right_lateral,B,5,0.44470467768822847,,,,1.0,scale,,,
svm,right_lateral__B,right_lateral,B,6,0.4168920982590863,,,,10.0,scale,,,
svm,right_lateral__B,right_lateral,B,7,0.46762199796799914,,,,10.0,scale,,,
svm,right_lateral__B,right_lateral,B,8,0.40145990330335196,,,,10.0,scale,,,
svm,right_lateral__B,right_lateral,B,9,0.44984874267347325,,,,10.0,scale,,,
svm,right_lateral__B,right_lateral,B,10,0.42637234511879996,,,,1.0,scale,,,
svm,right_lateral__C,right_lateral,C,1,0.6042582417582417,,,,1.0,scale,,,
svm,right_lateral__C,right_lateral,C,2,0.6207006109161526,,,,1.0,scale,,,
svm,right_lateral__C,right_lateral,C,3,0.6876842669525597,,,,10.0,scale,,,
svm,right_lateral__C,right_lateral,C,4,0.6198226050750157,,,,10.0,scale,,,
svm,right_lateral__C,right_lateral,C,5,0.6584332192670252,,,,1.0,scale,,,
svm,right_lateral__C,right_lateral,C,6,0.6438856095691037,,,,1.0,scale,,,
svm,right_lateral__C,right_lateral,C,7,0.67179462939531,,,,1.0,scale,,,
svm,right_lateral__C,right_lateral,C,8,0.5604601644023085,,,,1.0,scale,,,
svm,right_lateral__C,right_lateral,C,9,0.6204499005122942,,,,10.0,scale,,,
svm,right_lateral__C,right_lateral,C,10,0.6653499176187775,,,,1.0,scale,,,
xgb,bis_quatro__A,bis_quatro,A,1,0.6179487179487179,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,2,0.6311165200841888,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,3,0.5990500014890259,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,4,0.6673614876961445,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,5,0.6039082081339596,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,6,0.5273691613736992,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,7,0.5871301761829272,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,8,0.5675345956117369,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,9,0.6116513158487066,,,,,,0.1,3.0,200.0
xgb,bis_quatro__A,bis_quatro,A,10,0.6537647768504263,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,1,0.5163766788766789,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,2,0.4620156423900043,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,3,0.4853330950891926,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,4,0.4670085539342488,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,5,0.5119189595933782,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,6,0.5065690281231972,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,7,0.5090809801530164,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,8,0.49268247665865356,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,9,0.4856733201883514,,,,,,0.1,3.0,200.0
xgb,bis_quatro__B,bis_quatro,B,10,0.48799394970693893,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,1,0.6170940170940171,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,2,0.6429289970129448,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,3,0.567430536942732,,,,,,0.1,3.0,200.0
xgb,bis_quatro__C,bis_quatro,C,4,0.6124488104068365,,,,,,0.1,3.0,200.0
