estimator,model,fold,n_test,n_test_subjects,accuracy,balanced_accuracy,roc_auc,tn,fp,fn,tp
xgb,A_bandpower_epoch,7,27,1,0.5185185185185185,0.5,0.9945054945054944,14.0,0.0,13.0,0.0
xgb,A_bandpower_epoch,8,25,1,1.0,1.0,1.0,14.0,0.0,0.0,11.0
xgb,A_bandpower_epoch,9,25,1,0.92,0.9285714285714286,0.9025974025974026,12.0,2.0,0.0,11.0
xgb,A_bandpower_epoch,10,24,1,0.4583333333333333,0.493006993006993,0.6153846153846153,1.0,12.0,1.0,10.0
xgb,B_wpli_edges_epoch_sliding,1,32,1,0.59375,0.6058823529411765,0.5098039215686274,12.0,3.0,10.0,7.0
xgb,B_wpli_edges_epoch_sliding,2,30,1,0.3333333333333333,0.35267857142857145,0.30803571428571425,9.0,5.0,15.0,1.0
xgb,B_wpli_edges_epoch_sliding,3,29,1,0.41379310344827586,0.41666666666666663,0.3380952380952381,5.0,10.0,7.0,7.0
xgb,B_wpli_edges_epoch_sliding,4,28,1,0.7142857142857143,0.7142857142857143,0.8061224489795918,13.0,1.0,7.0,7.0
xgb,B_wpli_edges_epoch_sliding,5,28,1,0.2857142857142857,0.2857142857142857,0.28061224489795916,2.0,12.0,8.0,6.0
xgb,B_wpli_edges_epoch_sliding,6,28,1,0.5,0.5,0.4387755102040817,9.0,5.0,9.0,5.0
xgb,B_wpli_edges_epoch_sliding,7,27,1,0.48148148148148145,0.48351648351648346,0.5109890109890111,6.0,8.0,6.0,7.0
xgb,B_wpli_edges_epoch_sliding,8,25,1,0.48,0.5064935064935066,0.577922077922078,4.0,10.0,3.0,8.0
xgb,B_wpli_edges_epoch_sliding,9,25,1,0.52,0.5227272727272727,0.474025974025974,7.0,7.0,5.0,6.0
xgb,B_wpli_edges_epoch_sliding,10,24,1,0.7916666666666666,0.8076923076923077,0.7202797202797203,8.0,5.0,0.0,11.0
xgb,C_AplusB_epoch_sliding,1,32,1,0.75,0.7529411764705882,0.8235294117647058,12.0,3.0,5.0,12.0
xgb,C_AplusB_epoch_sliding,2,30,1,0.6666666666666666,0.6517857142857143,0.6294642857142857,6.0,8.0,2.0,14.0
xgb,C_AplusB_epoch_sliding,3,29,1,0.5517241379310345,0.5571428571428572,0.5666666666666667,6.0,9.0,4.0,10.0
xgb,C_AplusB_epoch_sliding,4,28,1,0.8214285714285714,0.8214285714285714,0.9642857142857142,14.0,0.0,5.0,9.0
xgb,C_AplusB_epoch_sliding,5,28,1,0.5,0.5,0.673469387755102,0.0,14.0,0.0,14.0
xgb,C_AplusB_epoch_sliding,6,28,1,0.5,0.5,0.6887755102040817,10.0,4.0,10.0,4.0
xgb,C_AplusB_epoch_sliding,7,27,1,0.6296296296296297,0.6153846153846154,0.8186813186813188,14.0,0.0,10.0,3.0
xgb,C_AplusB_epoch_sliding,8,25,1,0.76,0.737012987012987,0.8766233766233766,13.0,1.0,5.0,6.0
xgb,C_AplusB_epoch_sliding,9,25,1,0.76,0.7467532467532467,0.8441558441558442,12.0,2.0,4.0,7.0
xgb,C_AplusB_epoch_sliding,10,24,1,0.625,0.6398601398601399,0.6923076923076923,6.0,7.0,2.0,9.0
