estimator,model,subset,feat_type,fold,best_score_inner,rf__max_depth,rf__max_features,rf__min_samples_leaf,rf__min_samples_split,rf__n_estimators,svc__C,svc__gamma,xgb__colsample_bytree,xgb__learning_rate,xgb__max_depth,xgb__n_estimators,xgb__subsample
rf,right_lateral__A,right_lateral,A,5,0.7624784484222424,5.0,0.3,2.0,10.0,200.0,,,,,,,
rf,right_lateral__A,right_lateral,A,6,0.7259182965824992,5.0,sqrt,2.0,6.0,800.0,,,,,,,
rf,right_lateral__A,right_lateral,A,7,0.7483177166001631,10.0,sqrt,4.0,10.0,400.0,,,,,,,
rf,right_lateral__A,right_lateral,A,8,0.6979237908853131,10.0,0.3,5.0,2.0,400.0,,,,,,,
rf,right_lateral__A,right_lateral,A,9,0.68837704907932,5.0,sqrt,5.0,2.0,800.0,,,,,,,
rf,right_lateral__A,right_lateral,A,10,0.7056216054060882,10.0,sqrt,4.0,2.0,400.0,,,,,,,
rf,right_lateral__B,right_lateral,B,1,0.44957010582010587,10.0,0.3,4.0,2.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,2,0.4515827403758438,5.0,0.3,2.0,10.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,3,0.47440795885143194,20.0,sqrt,4.0,10.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,4,0.4818098711407994,10.0,0.3,5.0,2.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,5,0.45229331447017695,20.0,sqrt,2.0,10.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,6,0.4656621652369406,5.0,0.8,5.0,2.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,7,0.46999081492629813,5.0,sqrt,2.0,6.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,8,0.4582143396272917,10.0,0.8,2.0,10.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,9,0.41622092163513524,20.0,0.3,4.0,2.0,200.0,,,,,,,
rf,right_lateral__B,right_lateral,B,10,0.48807155488189974,5.0,sqrt,2.0,6.0,200.0,,,,,,,
rf,right_lateral__C,right_lateral,C,1,0.6347552910052909,10.0,sqrt,2.0,10.0,800.0,,,,,,,
rf,right_lateral__C,right_lateral,C,2,0.6817642765918628,10.0,0.3,2.0,2.0,400.0,,,,,,,
rf,right_lateral__C,right_lateral,C,3,0.7355253774914812,5.0,sqrt,4.0,10.0,200.0,,,,,,,
rf,right_lateral__C,right_lateral,C,4,0.7435856719642298,5.0,0.8,4.0,2.0,800.0,,,,,,,
rf,right_lateral__C,right_lateral,C,5,0.7566329836716826,5.0,sqrt,2.0,2.0,200.0,,,,,,,
rf,right_lateral__C,right_lateral,C,6,0.7144027673262213,5.0,sqrt,2.0,10.0,200.0,,,,,,,
rf,right_lateral__C,right_lateral,C,7,0.7422839847726971,5.0,0.3,2.0,6.0,800.0,,,,,,,
rf,right_lateral__C,right_lateral,C,8,0.6943831504912246,10.0,0.3,5.0,2.0,400.0,,,,,,,
rf,right_lateral__C,right_lateral,C,9,0.6858826098207932,5.0,0.3,5.0,2.0,200.0,,,,,,,
rf,right_lateral__C,right_lateral,C,10,0.7148541114058355,5.0,sqrt,4.0,10.0,200.0,,,,,,,
svm,bis_quatro__A,bis_quatro,A,1,0.663690476190476,,,,,,10.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,2,0.6750307881773399,,,,,,1.0,0.01,,,,,
svm,bis_quatro__A,bis_quatro,A,3,0.6838737637009074,,,,,,10.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,4,0.6971792683746559,,,,,,10.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,5,0.6848770472461876,,,,,,1.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,6,0.676205527017244,,,,,,1.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,7,0.6868567681820194,,,,,,10.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,8,0.6602200189773781,,,,,,1.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,9,0.6479962076051227,,,,,,1.0,0.001,,,,,
svm,bis_quatro__A,bis_quatro,A,10,0.7012796829607175,,,,,,1.0,0.001,,,,,
svm,bis_quatro__B,bis_quatro,B,1,0.5767195767195767,,,,,,100.0,0.001,,,,,
svm,bis_quatro__B,bis_quatro,B,2,0.5274413884327678,,,,,,10.0,0.01,,,,,
svm,bis_quatro__B,bis_quatro,B,3,0.536311283301235,,,,,,100.0,0.001,,,,,
svm,bis_quatro__B,bis_quatro,B,4,0.5130576534786176,,,,,,10.0,0.01,,,,,
svm,bis_quatro__B,bis_quatro,B,5,0.528330209869595,,,,,,100.0,0.01,,,,,
svm,bis_quatro__B,bis_quatro,B,6,0.5290431040923493,,,,,,10.0,0.001,,,,,
svm,bis_quatro__B,bis_quatro,B,7,0.5310124686189823,,,,,,10.0,0.01,,,,,
svm,bis_quatro__B,bis_quatro,B,8,0.5495980400311772,,,,,,10.0,0.01,,,,,
svm,bis_quatro__B,bis_quatro,B,9,0.5329676106063828,,,,,,100.0,0.001,,,,,
svm,bis_quatro__B,bis_quatro,B,10,0.5140994063407857,,,,,,100.0,0.01,,,,,
svm,bis_quatro__C,bis_quatro,C,1,0.6605489417989417,,,,,,100.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,2,0.6449267925561029,,,,,,1.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,3,0.6813506350213446,,,,,,100.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,4,0.6785436309444766,,,,,,1.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,5,0.650013487484715,,,,,,1.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,6,0.6522779181858018,,,,,,0.1,0.01,,,,,
svm,bis_quatro__C,bis_quatro,C,7,0.6464918472590222,,,,,,1.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,8,0.6238599324701091,,,,,,1.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,9,0.6289700189773781,,,,,,1.0,0.001,,,,,
svm,bis_quatro__C,bis_quatro,C,10,0.6703375647341164,,,,,,1.0,0.001,,,,,
svm,both_lateral__A,both_lateral,A,1,0.6651785714285714,,,,,,10.0,0.001,,,,,
svm,both_lateral__A,both_lateral,A,2,0.6902823389892355,,,,,,10.0,0.001,,,,,
svm,both_lateral__A,both_lateral,A,3,0.6865984581114501,,,,,,1.0,0.001,,,,,
svm,both_lateral__A,both_lateral,A,4,0.7083054186021076,,,,,,1.0,0.01,,,,,
svm,both_lateral__A,both_lateral,A,5,0.777527503987986,,,,,,1.0,0.01,,,,,
svm,both_lateral__A,both_lateral,A,6,0.7175735558291111,,,,,,0.1,0.01,,,,,
svm,both_lateral__A,both_lateral,A,7,0.7328192880224109,,,,,,1.0,0.001,,,,,
svm,both_lateral__A,both_lateral,A,8,0.6680965166036654,,,,,,0.1,0.01,,,,,
svm,both_lateral__A,both_lateral,A,9,0.7057723692763642,,,,,,10.0,0.001,,,,,
svm,both_lateral__A,both_lateral,A,10,0.7114950423140078,,,,,,10.0,0.001,,,,,
svm,both_lateral__B,both_lateral,B,1,0.5,,,,,,0.1,scale,,,,,
svm,both_lateral__B,both_lateral,B,2,0.47934911512497724,,,,,,1.0,scale,,,,,
svm,both_lateral__B,both_lateral,B,3,0.5099011151020247,,,,,,1.0,0.01,,,,,
svm,both_lateral__B,both_lateral,B,4,0.5,,,,,,0.1,scale,,,,,
svm,both_lateral__B,both_lateral,B,5,0.5144052235883607,,,,,,1.0,0.001,,,,,
svm,both_lateral__B,both_lateral,B,6,0.5405938085448178,,,,,,10.0,0.001,,,,,
svm,both_lateral__B,both_lateral,B,7,0.5,,,,,,0.1,scale,,,,,
svm,both_lateral__B,both_lateral,B,8,0.5,,,,,,0.1,scale,,,,,
svm,both_lateral__B,both_lateral,B,9,0.5054106515155716,,,,,,1.0,0.001,,,,,
svm,both_lateral__B,both_lateral,B,10,0.5,,,,,,0.1,scale,,,,,
svm,both_lateral__C,both_lateral,C,1,0.6438492063492063,,,,,,100.0,0.001,,,,,
svm,both_lateral__C,both_lateral,C,2,0.6455539591315453,,,,,,1.0,0.01,,,,,
svm,both_lateral__C,both_lateral,C,3,0.7029647464610502,,,,,,1.0,0.001,,,,,
svm,both_lateral__C,both_lateral,C,4,0.6428451909022159,,,,,,10.0,scale,,,,,
svm,both_lateral__C,both_lateral,C,5,0.7162180079907272,,,,,,1.0,scale,,,,,
svm,both_lateral__C,both_lateral,C,6,0.6738854644671673,,,,,,1.0,scale,,,,,
svm,both_lateral__C,both_lateral,C,7,0.6846391499143148,,,,,,1.0,0.001,,,,,
svm,both_lateral__C,both_lateral,C,8,0.6346755553809801,,,,,,1.0,0.001,,,,,
svm,both_lateral__C,both_lateral,C,9,0.6647398543424615,,,,,,1.0,0.001,,,,,
